,Unnamed: 0,Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Year,geometry
0,0,Switzerland,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2015,"POLYGON ((9.59422610844635 47.52505809182027, 9.632931756232978 47.34760122332999, 9.479969516649021 47.102809963563374, 9.932448357796659 46.92072805438296, 10.44270145024663 46.89354625099743, 10.363378126678612 46.48357127540986, 9.922836541390382 46.31489940040919, 9.182881707403055 46.44021474871698, 8.966305779667806 46.03693187111119, 8.489952426801324 46.005150865251686, 8.31662967289438 46.16364248309086, 7.755992058959833 45.82449005795931, 7.273850945676656 45.776947740250776, 6.843592970414505 45.99114655210061, 6.500099724970426 46.42967275652944, 6.022609490593538 46.27298981382047, 6.037388950229001 46.725778713561866, 6.768713820023606 47.2877082383037, 6.736571079138059 47.541801255882845, 7.192202182655507 47.44976552997102, 7.466759067422231 47.62058197691181, 8.317301466514095 47.61357982033627, 8.522611932009767 47.83082754169129, 9.59422610844635 47.52505809182027))"
1,1,Iceland,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2015,"POLYGON ((-14.508695441129234 66.45589223903143, -14.739637417041607 65.8087482774403, -13.60973222497981 65.12667104761987, -14.909833746794902 64.36408193628868, -17.794438035543422 63.678749091233854, -18.656245896874992 63.49638296167582, -19.97275468594276 63.64363495549153, -22.762971971110158 63.960178941495386, -21.778484259517683 64.40211579045551, -23.95504391121911 64.8911298692335, -22.184402635170358 65.0849681667603, -22.227423265053332 65.37859365504274, -24.326184047939336 65.61118927678847, -23.65051469572309 66.26251902939522, -22.134922451250887 66.41046865504687, -20.57628373867955 65.73211212835143, -19.05684160000159 66.27660085719477, -17.79862382655905 65.99385325790978, -16.167818976292125 66.52679230413587, -14.508695441129234 66.45589223903143))"
2,2,Denmark,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2015,"POLYGON ((-46.76379 82.62796, -43.40644 83.22516, -39.89753 83.18018, -38.62214 83.54905, -35.08787 83.64513, -27.10046 83.51966, -20.84539 82.72669, -22.69182 82.34165, -26.51753 82.29765, -31.9 82.2, -31.39646 82.02154, -27.85666 82.13178, -24.84448 81.78697, -22.90328 82.09317, -22.07175 81.73449, -23.16961 81.15271, -20.62363 81.52462, -15.76818 81.91245, -12.77018 81.71885, -12.20855 81.29154, -16.28533 80.58004, -16.85 80.35, -20.04624 80.17708, -17.73035 80.12912, -18.9 79.4, -19.70499 78.75128, -19.67353 77.63859, -18.47285 76.98565, -20.03503 76.94434, -21.67944 76.62795, -19.83407 76.09808, -19.59896 75.24838, -20.66818 75.15585, -19.37281 74.29561, -21.59422 74.22382, -20.43454 73.81713, -20.76234 73.46436, -22.17221 73.30955, -23.56593 73.30663, -22.31311 72.62928, -22.29954 72.18409, -24.27834 72.59788, -24.79296 72.3302, -23.44296 72.08016, -22.13281 71.46898, -21.75356 70.66369, -23.53603 70.471, -24.30702 70.85649, -25.54341 71.43094, -25.20135 70.75226, -26.36276 70.22646, -23.72742 70.18401, -22.34902 70.12946, -25.02927 69.2588, -27.74737 68.47046, -30.67371 68.12503, -31.77665 68.12078, -32.81105 67.73547, -34.20196 66.67974, -36.35284 65.9789, -37.04378 65.93768, -38.37505 65.69213, -39.81222 65.45848, -40.66899 64.83997, -40.68281 64.13902, -41.1887 63.48246, -42.81938 62.68233, -42.41666 61.90093, -42.86619 61.07404, -43.3784 60.09772, -44.7875 60.03676, -46.26364 60.85328, -48.26294 60.85843, -49.23308 61.40681, -49.90039 62.38336, -51.63325 63.62691, -52.14014 64.27842, -52.27659 65.1767, -53.66166 66.09957, -53.30161 66.8365, -53.96911 67.18899, -52.9804 68.35759, -51.47536 68.72958, -51.08041 69.14781, -50.87122 69.9291, -52.013585 69.574925, -52.55792 69.42616, -53.45629 69.283625, -54.68336 69.61003, -54.75001 70.28932, -54.35884 70.821315, -53.431315 70.835755, -51.39014 70.56978, -53.10937 71.20485, -54.00422 71.54719, -55 71.40653696727257, -55.83468 71.65444, -54.71819 72.58625, -55.32634 72.95861, -56.12003 73.64977, -57.32363 74.71026, -58.59679 75.09861, -58.58516 75.51727, -61.26861 76.10238, -63.39165 76.1752, -66.06427 76.13486, -68.50438 76.06141, -69.66485 76.37975, -71.40257 77.00857, -68.77671 77.32312, -66.76397 77.37595, -71.04293 77.63595, -73.297 78.04419, -73.15938 78.43271, -69.37345 78.91388, -65.7107 79.39436, -65.3239 79.75814, -68.02298 80.11721, -67.15129 80.51582, -63.68925 81.21396, -62.23444 81.3211, -62.65116 81.77042, -60.28249 82.03363, -57.20744 82.19074, -54.13442 82.19962, -53.04328 81.88833, -50.39061 82.43883, -48.00386 82.06481, -46.59984 81.985945, -44.523 81.6607, -46.9007 82.19979, -46.76379 82.62796))"
3,3,Norway,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2015,
4,4,Canada,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2015,
5,5,Finland,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2015,"POLYGON ((28.591929559043194 69.06477692328666, 28.445943637818658 68.36461294216404, 29.97742638522061 67.69829702419275, 29.054588657352326 66.94428620062206, 30.21765 65.80598, 29.54442955904699 64.94867157659048, 30.44468468600371 64.20445343693909, 30.035872430142717 63.55281362573855, 31.516092156711125 62.86768748641289, 31.139991082490894 62.35769277612441, 30.21110721204445 61.780027777749694, 28.07 60.50352, 28.070001921525666 60.50351912796823, 28.069997592895277 60.50351654727584, 26.255172967236973 60.4239606797625, 24.496623976344523 60.05731639265166, 22.869694858499457 59.846373196036225, 22.290763787533592 60.39192129174154, 21.322244093519316 60.720169989659524, 21.544866163832694 61.70532949487179, 21.05921105315369 62.60739329695874, 21.536029493910803 63.18973501245587, 22.442744174903993 63.81781037053129, 24.730511508897536 64.90234365504084, 25.398067661243942 65.11142650009374, 25.294043003040404 65.53434642197045, 23.903378533633802 66.00692739527962, 23.565879754335583 66.39605093043743, 23.53947309743444 67.93600861273525, 21.978534783626117 68.6168456081807, 20.645592889089528 69.10624726020087, 21.244936150810673 69.37044302029308, 22.356237827247412 68.84174144151491, 23.66204959483076 68.89124746365054, 24.735679152126725 68.64955678982146, 25.689212680776365 69.09211375596904, 26.179622023226244 69.82529897732614, 27.732292107867863 70.16419302029625, 29.015572950971972 69.76649119737799, 28.591929559043194 69.06477692328666))"
6,6,Netherlands,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2015,"POLYGON ((6.905139601274129 53.48216217713065, 7.092053256873896 53.144043280644894, 6.842869500362383 52.22844025329755, 6.589396599970826 51.852029120483394, 5.988658074577813 51.851615709025054, 6.15665815595878 50.80372101501058, 5.606975945670001 51.03729848896978, 4.973991326526914 51.47502370869813, 4.047071160507528 51.26725861266857, 3.314971144228537 51.34575511331991, 3.31501148496416 51.34577662473805, 3.830288527043137 51.62054454203195, 4.705997348661185 53.091798407597764, 6.074182570020923 53.510403347378144, 6.905139601274129 53.48216217713065))"
7,7,Sweden,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2015,"POLYGON ((11.027368605196868 58.85614940045936, 11.468271925511146 59.43239329694604, 12.3003658382749 60.11793284773003, 12.631146681375185 61.293571682370136, 11.992064243221563 61.80036245385655, 11.930569288794231 63.12831757267698, 12.579935336973934 64.06621898055833, 13.571916131248713 64.04911408146971, 13.919905226302204 64.44542064071608, 13.55568973150909 64.78702769638151, 15.108411492583002 66.19386688909547, 16.108712192456778 67.30245555283689, 16.768878614985482 68.0139366726314, 17.729181756265348 68.01055186631628, 17.993868442464333 68.56739126247736, 19.878559604581255 68.40719432237258, 20.025268995857886 69.0651386583127, 20.645592889089528 69.10624726020087, 21.978534783626117 68.6168456081807, 23.53947309743444 67.93600861273525, 23.565879754335583 66.39605093043743, 23.903378533633802 66.00692739527962, 22.18317345550193 65.72374054632017, 21.21351687997722 65.02600535751527, 21.369631381930958 64.41358795842429, 19.77887576669022 63.60955434839504, 17.84777916837521 62.74940013289681, 17.119554884518124 61.34116567651097, 17.83134606290639 60.63658336042741, 18.78772179533209 60.081914374422595, 17.86922488777634 58.9537661810587, 16.829185011470088 58.71982697207339, 16.447709588291474 57.041118069071885, 15.879785597403783 56.10430186626866, 14.666681349352075 56.200885118222175, 14.100721062891465 55.40778107362265, 12.942910597392057 55.36173737245058, 12.625100538797028 56.30708018658197, 11.787942335668674 57.44181712506307, 11.027368605196868 58.85614940045936))"
8,8,New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2015,
9,9,Australia,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2015,
